,,,"Insufficiently active (age-standardized estimate)","Insufficiently active (age-standardized estimate)","Insufficiently active (age-standardized estimate)","Insufficiently active (crude estimate)","Insufficiently active (crude estimate)","Insufficiently active (crude estimate)"
"Country","Year","Age Group","Both sexes","Male","Female","Both sexes","Male","Female"
"Saint Lucia","2010","18+  years","41.2 [36.1-46.4]","27.9 [23-33.2]","54.5 [40.2-68.2]","41.5 [36.5-46.8]","27.8 [22.8-33.1]","54.5 [40.3-68.3]"
"Saint Vincent and the Grenadines","2010","18+  years","No data","No data","No data","No data","No data","No data"
"Samoa","2010","18+  years","16.2 [14.1-18.6]","10.9 [8.4-14]","21.5 [18.1-25.3]","15.3 [13.2-17.8]","9.8 [7.3-12.8]","21.2 [17.8-25]"
"San Marino","2010","18+  years","No data","No data","No data","No data","No data","No data"
"Sao Tome and Principe","2010","18+  years","15.6 [13.8-17.6]","10.3 [7-15]","20.9 [18.7-23.4]","13.4 [11.6-15.4]","8.1 [4.8-12.8]","18.3 [16.1-20.8]"
"Saudi Arabia","2010","18+  years","61 [57.1-64.7]","53.2 [48-58.4]","68.7 [63.1-74]","58.5 [54.6-62.2]","52.1 [46.9-57.3]","67.7 [62.1-73]"
"Senegal","2010","18+  years","25 [7.2-60.2]","21 [6.1-56.8]","29 [8-63.6]","22.1 [6-56.3]","18 [5.1-52.9]","25.8 [6.9-60.5]"
"Serbia","2010","18+  years","38.7 [13.2-75.8]","33.5 [12.3-73.6]","43.8 [15.7-79.3]","41.4 [14.7-77.4]","35.3 [13.2-74.9]","47.1 [17.9-81.1]"
"Seychelles","2010","18+  years","20.8 [18.6-23.1]","19.3 [15.8-23.3]","22.3 [19.5-25.3]","20.6 [18.4-22.9]","18.2 [14.7-22.2]","23 [20.2-26]"
"Sierra Leone","2010","18+  years","14.2 [11.3-17.7]","10.5 [7.6-14.3]","17.9 [12.3-25.2]","11.6 [8.7-15]","8 [5.1-11.8]","15 [9.4-22.3]"
"Singapore","2010","18+  years","33.1 [30.7-35.5]","30.9 [27.8-34.2]","35.3 [31.7-39.1]","33.7 [31.3-36.1]","31.6 [28.5-34.9]","35.7 [32.1-39.5]"
"Slovakia","2010","18+  years","17.8 [4.9-49.7]","16.6 [4.6-48.7]","19.1 [4.5-48.7]","19.2 [5.4-51.6]","16.8 [4.6-49.2]","21.4 [5.1-51.3]"
"Slovenia","2010","18+  years","21.3 [5.1-53.2]","17.4 [4.9-50.6]","25.1 [6.5-59.2]","24.1 [5.8-55.6]","18.8 [5.3-52.8]","29.2 [7.9-62.8]"
"Solomon Islands","2010","18+  years","35.1 [30.3-40.1]","30.2 [23.8-37.3]","39.9 [33-47.2]","34 [29.2-39]","29 [22.6-36]","39 [32.1-46.3]"
"Somalia","2010","18+  years","No data","No data","No data","No data","No data","No data"
"South Africa","2010","18+  years","46.9 [42.7-51.1]","42.2 [36.4-48.3]","51.6 [45.7-57.5]","47.1 [42.9-51.3]","40.5 [34.7-46.6]","53.1 [47.2-59.1]"
"South Sudan","2010","18+  years","No data","No data","No data","No data","No data","No data"
